account,affected_stake
0x4a2dd4b190b6dee6939709278b659ed5ffcb9d92,10175.464700000000
0x2f595c056e785e13579128df27cad2968d034ba4,10137.000000000000
0x0bc99b862e5545d181cc7bfa71720712527aceee,10106.355600000000
0xcf43e9a2f9ed4810de89ae08d88445d8ccf63ab1,9258.8893000000000000
0x13b0d26d0703cd7a13a52e4bfb90a48887e559a6,9022.2798000000000000
0x6ae40a6fd30b9e627a1314d2fadc4ed96d34dbd7,8740.7568000000000000
0x6be27f6f4c3ec75a3e5866ac4f877d5ea9ac363d,8357.6000000000000000
0xa0837778bc9a735924bcf4c98e64af6e8de42cf4,7998.0000000000000000
0x89de01e46274b69585dbaa45dd81c42c4bd372e1,7822.4868000000000000
0x9062a96b9e947b2b57283e705c97b871f5eb6561,7631.7955000000000000
0x25e4723f5859952d807ca1339e010c30e06656af,7572.2716000000000000
0x1426fbd146942e153653863cbe633780c17268da,6000.0000000000000000
0x0f28fa701eda5db150f2c6ccfa220e75cd839efe,5905.0905000000000000
0xbc0a24a17caed0dbca77e564159c188c7aaacab7,5900.2172000000000000
0xe646e22e0fc1b0f49cd828acca2c9ad42f681115,4497.6385000000000000
0x9e825de7d9f9876b35a2785f50355ccc59f22541,4151.1311000000000000
0x97a10c045fcb083e1807d63519431a8ff776dc05,4114.6408000000000000
0x2ffe1cebbd2e6934f1a9e2bc4a0940d8c78cff6d,4112.0000000000000000
0xb6a960e019e2068084bdd23fbc26593bb1965cd0,4093.5289000000000000
0xd164984268bc6e81ce9a5109c955b96e4edbee89,3439.0528000000000000
0x451248229712d6f207ff9466d8d3a33cb59d103c,3268.9894000000000000
0xd4437a5e053a011b6aecef4efea5a4f15d1b400d,3000.0000000000000000
0x0fa11d9d60c102edf601ee5fa11b84e640541982,2836.7592000000000000
0xc1ef94c5a6de970ce6fb1f4c28af352ba046a63b,2535.9359000000000000
0x59512422af0709c7cab8285838975cd8d7c7ce7d,2426.2240000000000000
0xe347d593d62be9d012448f9f7adf6e24954267d5,2413.3416000000000000
0x41df0d7108aa67aa76d8072a91edc2fddbc9783a,2386.5104000000000000
0x0e905f4acabf5914b71d2fde1427a46dd2a037c5,1943.9155000000000000
0x8664cedfbfd62980211acefcd4919c72237d801b,1739.0000000000000000
0x9f572ac4a20eb83b067cf9fb8d4452041a302acb,1300.1379000000000000
0x407f9e8c06371b9f2b2faa4f98c233253d817308,1299.0490000000000000
0x9b8008224cb42e8346e6ba975cd12702aa0c57cb,1200.0000000000000000
0x7eee11505ff2b2e1c9d984760602b5eee76d499f,1143.7785000000000000
0xb7338951d8aaf32ec72e72aff962aa0ee315cc6b,1021.2866000000000000
0xddc570bafd31c4a3545a3d742b9d022e78a9cb7f,959.6529000000000000
0xde0ab4455b0d213f90238e1fe5b057324832f389,675.0000000000000000
0x5af27e3663c17e1b641d2698a1270a1fc7a20c59,577.2474000000000000
0x23b97fb0301883863bbbd8238d11fd51e95e7315,500.0000000000000000
0xa406350e53c905c881aa346cf14c703a52a9b593,413.8098000000000000
0xf7af0b2277a6caa0d8a3a1b1ea21f5c6e13dca74,398.9772000000000000
0x5e927d6d547254dcfab48c18b2314757ab931150,362.9500000000000000
0xa2676434160df812594d53a51a63a46981411c2a,237.2594000000000000
0xb3902cd8318c4648e18dfe6afce125a331f1a787,190.0000000000000000
0x88a272392fdc5180bf7d20b77cb53bea57e0f580,183.1385000000000000
0xfef5ea9673d8dc1461dc3e6218c3dbcb3e70b939,155.1903000000000000
0xefa168d4231b1ed0711260360647db6281c1ebbb,148.3759000000000000
0xb9b6cec863aea619be2e1f2739e57854ff3f9d8b,10.0000000000000000
0x7dc005b44859ef5e1c66f99138acc57796bd5b42,10.0000000000000000
0x559f046932523496a9e8a22372121936706f5633,10.0000000000000000
0x0d473456255c5c1abb4809fd3194a57a6287b568,0.50000000000000000000
0xd45ad60eb8444529e52de6a8ec03d9769ee78149,0.03400000000000000000
0xc36ea3f3fb8b205c757e3f4142503279c1aee714,0
0x201f822105a9f7bdbc970588d1ecae8eeba9492d,0
0xd7a0ab41be5442296990f3ff361f2f3bd67e6f83,0
0x3a315f541003349aa597f6bfcf6df6a2feab58e1,0
0x2807c205bedc4361d913eabd02d30f4a0d64e559,0
0xaa2a64323e821aa14c93721430c5b3bfde23da98,0
0x7a800c1d31f3c04cf3db9cafc7ebc726ed9821c7,0
0xd6b97c294530ed250b64f01f26ff4f28dd6436c1,0
0xf85f7230d69553c3aab5d35d4523659bc59d35be,0
0xf2e1cc0b1d145f078b00c993ce15bc5476d9f718,0
0x316ad5364b0b322352d8892420a3c32537157530,0
0xb931d769b1a4856842d517bec527ec30e0fe217f,0
0xba171bb8246f57dd1f20bd2164a549e99c6b42a3,0
0x8b4a995eb15016f719c008caac3bc58de0b6e615,0
0x39432039ddbd6fc67668386c897e54c1c5554ce4,0
0x05144b6eba04f846513c4e29812722f9397ee30a,0
0xacdd8a3ea69e962cd70c9b32cb4e7184f7863da1,0
0x98f47f089a265e953e9501fc46ffaa3279e88c20,0
0x37b5c1a4ed75215eaa6848f6415abe8677a3f302,0
0x4cb333f3eb7a0ef9e4c570a6b1c117bd1ad8de16,0
0x8b43c66546fd35cdae38bf457cbed3fff38fa728,0
0xd92ba9ec2aaa7cf42cdb5f1f3bb9fbb9d2639250,0
0x3ad2c056ad56a651310832446990ebac189fbee8,0
0x0aead38a4f99f8dae8944d31eb703b6c7cec4381,0
0xe9298abb48e12a4baca6d1a9aa053bca73f6946e,0
0x1af263cca69245588e08bebcf124200f7ccdd05a,0
0xbf810ba4b12a63ce38e82d5e65af1156672969f5,0
0x2b1d764569c4788837c6952398b1b5369483b06d,0
0x4d3a4a71c8c5bb0f8549eebbba224cfcefbc7bb6,0
0x302df9380898e6d868018cd7d80c4ae0828802f1,0
0x165f89265e8f482760d7bb68c61583d36a4cc21c,0
0x85553c73886977397c0eb6231ac95f86015ece9a,0
0xd273485bdedeb856083dde9a8b293aa556cf8178,0
0x1405fc8ce8cd8d185e01f3939eeb0ab868308514,0
0x79bf14a89d431124196be0aac61d290aad69f2f8,0
0x8f849cda091cf0a306221f9ef8db241f47b54a0e,0
0x7f9e4163d4d15ffcc3856169eb16109ec4330833,0
0x09dc9276f0dbafb99888bcf54951fc4bfcceb920,0
0xa1e90b879a7777b2ca5e8bdebd5249c01148c70a,0
0x0d944216235930c2d254bd9b87942e0eabf79473,0
0xcacc286d4c967148fb4fa9baedd7b7e68e5cfc68,0
0xf8f122a03054b4c243debbb041821e473952251d,0
0xfb18d467ee4f8c14fc8b5d5c39156e04aebebcb1,0
0x08efc5fa0114a32f20c8d185dd33a037c4fcd202,0
0x02d62fcd40467f126fb7fc6201f9dbf3a991fdc7,0
0x8157543bc8876e390674c34173c94e454b2d4763,0
0x4696bec164562b183ea588b538287c9510291503,0
0x8aa4243ef5fe3d6ebe375fa6d47a710266cb0caf,0
0xb0de16e4a22bb624414d5baa0d3626c10e936d50,0
0xd865426040096f2d1a99cf052ff77e5cbb36cea9,0
0xaa19f5ef36ad4eaa3fccc0aa3228abbadf676b45,0
0x45cbc152835083a04561065bcdc29141592cd40c,0
0xa0aef42acd283b83b34badbfa34f86942d7cbff6,0
0xccf9a2f4b558d0a23d2f678adf2de1dc52fa343e,0
0x98bae1235e455e182cd7ce25cb393cc22433ee4f,0
0x8d313be9a5f5abb56e696d2bb2e5ea2673e326c6,0
0x9b29882756e35f012579468105bfd662a9968351,0
0x16f2ba49c5bb78c994dddfbcc8dbc93d70245ab6,0
0x7d311e3fff96fa4c5397880654fbfc2b71ac8847,0
0x86f7c14a3563f0b2fe8fd55efd39755053a1e414,0
0xc2ff8b2fb8082c811b310ca1c2d5cb235f3059bb,0
0xb6bf464940220c4202cd22674d3d1da225c9923f,0
0x3021971097314a7f22622e192a34a66f6afbeda2,0
0x76f67123bb1f8b7d3282a649aae51cd8920efbac,0
0x3e76c717b6cd6e747de24ccab4a7e8e620b7c036,0
0xb0b50087d7b95b8227c663ef3d2bb81661e7ed6c,0
0x166c45fde8dd671b16008e14b505a263c50ce736,0
0x362320f3a3eeeb4c4699b1b9062a84b2612bcdba,0
0x8e11e73fb251fdf48029f4324f6f99f8f2a3e4db,0
0xa69f6c2d3067b342767e70e05724a6d210611386,0
