account,affected_stake
0xd24c941f5edbe451395544658c0df6df056c6ad0,280000.947900000000
0x0de156cb2202c682b41d3fbe8b785238ecf3f647,224455.199400000000
0xf17e325f34bb4f2401a67cdb58025ed9947ee198,200150.000000000000
0xe2f3c30b753f71bdbf1258d6e09fd3d2adf549db,200000.000000000000
0xce4d4bf74cf639d99c26803f6dbc0a8054329c16,188761.011600000000
0x5bffcd8f4809e29bcace4c9c21e0c3b6963ecec1,167180.902500000000
0xeb4872b4c995f6613077090438eae69cfeff142f,158608.530698562141
0xa1bc9f613297fe6201da0ffe5bf7f086a51cc365,133889.189700000000
0x3f4d0a6654c8365b42dcaa8aa92d9034e2a6141f,128877.199200000000
0xe4126fd057ab2fc08b6ce2621de4c3bc56464101,111896.171100000000
0xe0e03ba22e14776dc972a50e6cca5ceedb3b972c,110808.138700000000
0x107cd74419dfc9ff01975e652597c5a4b6706460,104728.347500000000
0xb5ebf7fac6f40583261758a7347e8eaa41935524,103029.133100000000
0xf3551c1d8ac61569e482abc05eefae4cccef32c1,100106.057598074921
0x8d339490827b323295da0a003096e18b0dd99a2f,81993.705200000000
0x542af4dda22ae22bae41ea32fafcfb6af00d8ac5,81715.201000000000
0xde5701c91e479888878f9aebf1decc0b10d88cb5,67194.205000000000
0x9254dc142566bbdefa0d44411d67cc47d3ce41bf,65856.000000000000
0x2916d837b5f3d4e83df9c6db717356bd89c6e9a5,58594.910700000000
0xfd645ae7ff27585a9a526ca27731271c8cf8ea5c,53135.453000000000
0x03f182ec7474877ec8d830a5fcb804fd132755c1,51250.000000000000
0x18376a0e6f2975013d2866407ea4f4e2ff01b510,48447.461700000000
0xbf45dd1bca8067769494b935c69763ca29de85a0,45767.183200000000
0x09e3c4bf50a15225d4087fe089282cb5506dcce6,44792.419200000000
0x2b7d141a63ebab9ee78dfb312874859933033895,40263.298900000000
0xc1196c46559203fe1e3ffe05009fde59795a6385,36973.539700000000
0x05c9f9ea62c3c69ddf7221446d7dbf4e04b0c408,36885.174900000000
0xc866b55ab835ee33a2bcd71c9a3ea2e364df3a3e,30471.255200000000
0x9a1e402d39cb2d49cf23e6767c6458126ea24631,30000.000000000000
0xb2307a911a5acb113813032e8fa1f76665198ef7,28550.747200000000
0x3e98b3623592b52eb2ddcf36a4ce9a9d48df57ef,25658.219800000000
0x4abe0903ee68883e693293037973f5926827eb03,24496.982900000000
0x0ab89d33cc455105c56a6e9381bde16e0d6d9e40,23776.475700000000
0x3cefb79af1f4126dc679d52f5f7458a25ce74b42,23235.967400000000
0xc846b4532249ba200a2f40b011aa8a770266bac2,22969.989900000000
